Date,ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20
5/8/2000,7.051061999,7.413043181,7.59586217,7.661861708,7.71317805,7.748652504,7.745065971,7.704515309,7.706515956,7.732070219,7.738586738,7.70918379,7.741182655,7.780062882,7.805366938,7.780717984,7.825248113,7.865656249,7.925372593,7.817827748
5/9/2000,7.028154015,7.373169835,7.542512753,7.609916092,7.66421672,7.698019865,7.699245803,7.663489863,7.66057908,7.68798022,7.692818115,7.664587629,7.696276688,7.735928288,7.759802193,7.736161934,7.780500335,7.82148291,7.880480765,7.769911887
5/10/2000,7.024750944,7.350613183,7.501944033,7.563039339,7.613439612,7.651392079,7.652333294,7.61061748,7.605145978,7.633642016,7.637518989,7.608041894,7.63583386,7.67693774,7.699189563,7.676628102,7.720746867,7.762315125,7.820567316,7.706951751
5/11/2000,7.027830364,7.354394502,7.499383325,7.560926257,7.614596511,7.649993096,7.643713356,7.600652293,7.592927594,7.618799562,7.621836263,7.593786913,7.618992464,7.657260502,7.678752209,7.657056452,7.701004127,7.74314756,7.800635973,7.683933605
5/12/2000,7.096623557,7.45009444,7.604621416,7.662553595,7.70564064,7.742956792,7.738053266,7.697764642,7.693455999,7.718838283,7.723389882,7.699339703,7.72545886,7.770650353,7.793545365,7.772431725,7.816276487,7.858978573,7.915687722,7.795851994
5/15/2000,7.103944949,7.448196162,7.598734681,7.663390346,7.706305426,7.744798487,7.735754439,7.697918965,7.692832545,7.72133673,7.719093768,7.694793035,7.721346018,7.766240315,7.781202026,7.764071427,7.806959575,7.851532103,7.905679494,7.776431866
5/16/2000,7.163894723,7.473056231,7.587361008,7.638146776,7.67053932,7.702860131,7.684689965,7.640238929,7.628260177,7.64653275,7.635547187,7.608018275,7.628729707,7.671720248,7.685573503,7.670003519,7.710222492,7.751729881,7.806204257,7.671018409
5/17/2000,7.207246437,7.529928184,7.623832202,7.652884112,7.680557952,7.708864419,7.679089111,7.640034005,7.63595228,7.661094185,7.662220552,7.649040717,7.676444729,7.724706195,7.742590811,7.730953175,7.770282525,7.812621869,7.866114461,7.727757898
5/18/2000,7.220038627,7.546718461,7.656794868,7.695231516,7.719683485,7.751982459,7.725517535,7.695199398,7.701002799,7.737295195,7.744531207,7.736847512,7.769028586,7.822829629,7.844833142,7.836450328,7.877451714,7.924171156,7.975413871,7.836796663
5/19/2000,7.169927565,7.472947908,7.57581298,7.618875872,7.646993808,7.688670909,7.665431817,7.635238646,7.640960348,7.678025508,7.684060016,7.677001247,7.711116986,7.771836604,7.794191126,7.789250441,7.83290816,7.881530376,7.938078136,7.797897621
5/22/2000,7.120202244,7.435572844,7.52578804,7.552847389,7.574291214,7.612006273,7.582343336,7.556059753,7.561019049,7.597995149,7.594073272,7.588214102,7.621879192,7.68482784,7.702608292,7.701108153,7.743588496,7.794292987,7.847779218,7.697303368
5/23/2000,7.142009623,7.464506025,7.560818229,7.582067074,7.598438782,7.637808,7.606210716,7.581926403,7.582827937,7.618652097,7.611136909,7.600829857,7.629600048,7.687628679,7.70219758,7.699315729,7.738271787,7.790399599,7.842453109,7.689466921
5/24/2000,7.141710392,7.492473829,7.584657237,7.605220051,7.621218694,7.656485028,7.632398076,7.609743255,7.607604603,7.641395795,7.630474906,7.618596917,7.644273341,7.703693784,7.716633389,7.714897815,7.753503838,7.806325258,7.857275374,7.700813104
5/25/2000,7.126058736,7.460205549,7.533685118,7.545092285,7.542600936,7.567814508,7.53835158,7.514577937,7.512438501,7.547557563,7.531677081,7.519089418,7.541772424,7.598967928,7.611763919,7.607777573,7.643248664,7.697417328,7.746906425,7.58789717
5/26/2000,7.128217817,7.449669418,7.519490915,7.519696899,7.514662334,7.543834633,7.512891847,7.486459496,7.482433082,7.515162653,7.495507667,7.484512695,7.507403012,7.562039252,7.570765734,7.568423855,7.603458574,7.658354193,7.706664522,7.544223023
